latitude,longitude,ALLSKY_SFC_SW_DWN_JAN,ALLSKY_SFC_SW_DWN_FEB,ALLSKY_SFC_SW_DWN_MAR,ALLSKY_SFC_SW_DWN_APR,ALLSKY_SFC_SW_DWN_MAY,ALLSKY_SFC_SW_DWN_JUN,ALLSKY_SFC_SW_DWN_JUL,ALLSKY_SFC_SW_DWN_AUG,ALLSKY_SFC_SW_DWN_SEP,ALLSKY_SFC_SW_DWN_OCT,ALLSKY_SFC_SW_DWN_NOV,ALLSKY_SFC_SW_DWN_DEC,ALLSKY_SFC_SW_DWN_ANN,RH2M_JAN,RH2M_FEB,RH2M_MAR,RH2M_APR,RH2M_MAY,RH2M_JUN,RH2M_JUL,RH2M_AUG,RH2M_SEP,RH2M_OCT,RH2M_NOV,RH2M_DEC,RH2M_ANN,T2M_JAN,T2M_FEB,T2M_MAR,T2M_APR,T2M_MAY,T2M_JUN,T2M_JUL,T2M_AUG,T2M_SEP,T2M_OCT,T2M_NOV,T2M_DEC,T2M_ANN,WS2M_JAN,WS2M_FEB,WS2M_MAR,WS2M_APR,WS2M_MAY,WS2M_JUN,WS2M_JUL,WS2M_AUG,WS2M_SEP,WS2M_OCT,WS2M_NOV,WS2M_DEC,WS2M_ANN
22.5,30.0,5.0556,5.8807,6.8959,7.5991,7.909,8.0858,7.9442,7.483,6.954,6.0466,5.2349,4.7628,6.6569,38.63,29.03,20.95,16.11,15.02,15.34,16.98,18.23,20.78,25.92,34.94,41.38,24.44,13.89,16.74,21.16,26.07,30.19,32.6,33.27,33.74,30.89,26.8,20.12,15.35,25.1,2.79,2.93,3.14,3.27,3.42,3.66,3.33,3.54,3.92,3.63,3.04,2.89,3.3
22.5,30.5,5.0556,5.8807,6.8959,7.5991,7.909,8.0858,7.9442,7.483,6.954,6.0466,5.2349,4.7628,6.6569,38.58,29.08,21.03,16.19,15.06,15.36,17.04,18.33,20.78,25.85,34.91,41.23,24.45,14.05,16.9,21.25,26.14,30.3,32.58,33.23,33.72,30.96,27.03,20.34,15.55,25.21,2.76,2.93,3.15,3.26,3.41,3.64,3.3,3.55,3.9,3.55,2.99,2.84,3.27
22.5,31.0,5.0599,5.8966,6.9362,7.65,7.8974,8.0455,7.854,7.3987,6.8722,6.0173,5.2435,4.7808,6.6398,38.39,29.43,21.49,16.83,15.59,15.65,17.47,18.66,20.69,25.52,34.48,40.69,24.57,14.64,17.45,21.71,26.56,30.72,32.91,33.46,33.99,31.46,27.75,21.06,16.25,25.7,2.84,3.04,3.22,3.3,3.44,3.68,3.37,3.64,3.92,3.48,2.99,2.88,3.32
22.5,31.5,5.0599,5.8966,6.9362,7.65,7.8974,8.0455,7.854,7.3987,6.8722,6.0173,5.2435,4.7808,6.6398,38.39,29.43,21.49,16.83,15.59,15.65,17.47,18.66,20.69,25.52,34.48,40.69,24.57,14.64,17.45,21.71,26.56,30.72,32.91,33.46,33.99,31.46,27.75,21.06,16.25,25.7,2.84,3.04,3.22,3.3,3.44,3.68,3.37,3.64,3.92,3.48,2.99,2.88,3.32
22.5,32.0,5.0647,5.8822,6.917,7.6126,7.8581,8.0066,7.805,7.3392,6.8244,5.987,5.2219,4.7683,6.6094,40.56,32.43,24.88,20.41,19.02,18.93,20.81,21.84,23.51,28.07,36.72,42.59,27.47,15.82,18.51,22.63,27.3,31.35,33.47,34.04,34.52,32.17,28.73,22.22,17.44,26.55,3.08,3.3,3.42,3.5,3.59,3.8,3.54,3.78,3.92,3.5,3.16,3.09,3.47
22.5,32.5,5.0647,5.8822,6.917,7.6126,7.8581,8.0066,7.805,7.3392,6.8244,5.987,5.2219,4.7683,6.6094,41.36,32.57,24.26,19.3,17.46,17.04,18.96,20.08,21.74,27.24,36.9,43.3,26.67,15.62,18.33,22.38,27.06,31.21,33.38,33.99,34.5,32.26,28.78,22.15,17.3,26.45,2.91,3.1,3.22,3.29,3.38,3.61,3.47,3.65,3.65,3.19,2.94,2.9,3.28
22.5,33.0,5.0326,5.8586,6.9096,7.6003,7.7897,7.991,7.7846,7.3006,6.7858,5.9767,5.2022,4.7299,6.5822,40.85,32.1,23.26,17.82,15.65,15.29,17.96,18.82,19.9,26.18,36.02,42.13,25.49,16.17,18.81,22.75,27.42,31.6,33.75,34.26,34.85,32.82,29.45,22.83,17.95,26.92,2.82,3.02,3.15,3.2,3.29,3.57,3.54,3.72,3.57,3.0,2.83,2.81,3.21
22.5,33.5,5.0326,5.8586,6.9096,7.6003,7.7897,7.991,7.7846,7.3006,6.7858,5.9767,5.2022,4.7299,6.5822,40.8,32.6,23.21,17.85,14.87,13.33,15.91,16.69,18.26,27.63,37.21,42.18,25.02,17.05,19.63,23.43,27.96,32.14,34.34,34.74,35.41,33.62,30.16,23.75,18.96,27.63,3.03,3.26,3.3,3.32,3.36,3.6,3.64,3.7,3.46,3.16,3.0,3.03,3.32
22.5,34.0,4.9793,5.8046,6.8623,7.5466,7.7321,7.981,7.7431,7.2322,6.7591,5.9354,5.1475,4.6798,6.5357,40.8,32.6,23.21,17.85,14.87,13.33,15.91,16.69,18.26,27.63,37.21,42.18,25.02,17.05,19.63,23.43,27.96,32.14,34.34,34.74,35.41,33.62,30.16,23.75,18.96,27.63,3.03,3.26,3.3,3.32,3.36,3.6,3.64,3.7,3.46,3.16,3.0,3.03,3.32
22.5,34.5,4.9793,5.8046,6.8623,7.5466,7.7321,7.981,7.7431,7.2322,6.7591,5.9354,5.1475,4.6798,6.5357,45.54,37.58,26.86,20.69,16.67,13.84,15.99,17.25,19.87,33.01,43.64,47.48,28.17,16.57,19.06,22.77,27.15,31.35,33.71,34.24,34.91,33.11,29.27,23.16,18.51,27.02,3.12,3.32,3.31,3.32,3.3,3.41,3.51,3.44,3.26,3.25,2.99,3.09,3.28
