latitude,longitude,ALLSKY_SFC_SW_DWN_ANN,RH2M_ANN,T2M_ANN,WS2M_ANN
29.5,31.5,6.078,46.23,22.14,3.21
29.5,32.0,6.1397,49.99,19.6,3.03
29.5,33.0,6.2131,47.4,20.18,3.56
29.5,33.5,6.2131,49.45,18.43,2.92
29.5,34.0,6.1858,49.45,18.43,2.92
29.5,34.5,6.1858,49.91,18.48,3.15
30.0,25.0,5.9412,49.15,20.82,3.1
30.0,25.5,5.9412,49.43,20.86,3.24
30.0,26.0,5.9659,51.15,20.64,3.26
30.0,26.5,5.9659,51.15,20.64,3.26
30.0,27.0,5.9484,50.83,21.5,3.17
30.0,27.5,5.9484,49.99,22.4,3.18
30.0,28.0,5.9297,52.7,21.7,3.14
30.0,28.5,5.9297,55.34,21.12,3.18
30.0,29.0,5.9465,55.34,21.12,3.18
30.0,29.5,5.9465,56.67,20.58,3.18
30.0,30.0,5.8334,55.84,20.48,3.03
30.0,30.5,5.8334,52.99,21.29,2.87
30.0,31.0,5.7127,50.54,21.82,2.87
30.0,31.5,5.7127,50.54,21.82,2.87
30.0,32.0,5.8685,52.9,20.48,2.61
30.0,32.5,5.8685,53.74,21.6,2.97
30.0,33.0,6.0149,55.35,18.8,3.12
30.0,33.5,6.0149,54.08,19.45,2.75
30.0,34.0,5.9878,54.08,19.45,2.75
30.0,34.5,5.9878,53.29,19.21,2.81
30.5,25.0,5.9412,51.96,20.59,3.29
30.5,25.5,5.9412,53.66,20.27,3.36
30.5,26.0,5.9659,55.95,19.84,3.32
30.5,26.5,5.9659,55.95,19.84,3.32
30.5,27.0,5.9484,57.19,19.84,3.34
30.5,27.5,5.9484,58.51,19.85,3.36
30.5,28.0,5.9297,59.17,20.29,3.3
30.5,28.5,5.9297,60.84,20.56,3.28
30.5,29.0,5.9465,60.84,20.56,3.28
30.5,29.5,5.9465,62.17,20.3,3.15
30.5,30.0,5.8334,58.72,20.95,2.9
30.5,30.5,5.8334,54.9,22.0,2.77
30.5,31.0,5.7127,53.37,22.38,2.66
30.5,31.5,5.7127,53.37,22.38,2.66
30.5,32.0,5.8685,53.28,22.16,2.52
30.5,32.5,5.8685,56.38,21.28,2.83
30.5,33.0,6.0149,60.06,19.38,2.84
30.5,33.5,6.0149,59.22,19.75,2.71
30.5,34.0,5.9878,59.22,19.75,2.71
30.5,34.5,5.9878,57.89,19.37,2.72
31.0,25.0,5.509,57.12,19.82,3.32
31.0,25.5,5.509,59.67,19.38,3.31
31.0,26.0,5.4151,60.68,19.4,3.32
31.0,26.5,5.4151,60.68,19.4,3.32
31.0,27.0,5.1996,62.0,19.21,3.4
31.0,27.5,5.1996,63.64,19.9,3.72
31.0,28.0,5.3052,65.87,20.45,3.69
31.0,28.5,5.3052,69.47,20.68,3.98
31.0,30.0,5.4194,63.11,21.38,3.25
31.0,30.5,5.4194,58.73,21.9,2.92
31.0,31.0,5.3412,57.54,22.05,2.65
31.0,31.5,5.3412,57.54,22.05,2.65
31.0,32.0,5.3575,57.42,22.23,3.0
31.0,32.5,5.3575,63.11,21.49,3.12
31.0,33.0,5.3767,66.69,20.73,3.23
31.0,33.5,5.3767,64.99,20.71,2.93
31.0,34.0,5.4701,64.99,20.71,2.93
31.5,25.5,5.509,66.13,20.28,3.68
31.5,26.0,5.4151,67.64,20.2,3.97
31.5,26.5,5.4151,67.64,20.2,3.97
